observation_id,observed_at,location_id,location_name,district,latitude,longitude,vehicle_type,speed_kmh,direction,sensor_id
OBS-0000001,2026-01-30 01:55:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,26.7,N,CAM-01-1
OBS-0000002,2026-02-26 13:39:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,37.7,W,CAM-05-3
OBS-0000003,2026-01-22 20:08:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,39.4,N,CAM-04-2
OBS-0000004,2026-03-16 03:52:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,bus,36.2,W,CAM-01-3
OBS-0000005,2026-01-20 03:14:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,truck,31.9,E,CAM-03-2
OBS-0000006,2026-02-16 17:56:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,28.1,E,CAM-06-1
OBS-0000007,2026-02-18 23:25:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,37.2,E,CAM-05-1
OBS-0000008,2026-02-03 13:45:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,47.3,W,CAM-06-1
OBS-0000009,2026-03-23 02:21:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,28.4,W,CAM-04-2
OBS-0000010,2026-01-24 13:00:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,30.1,W,CAM-05-3
OBS-0000011,2026-03-15 06:55:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,39.7,N,CAM-05-3
OBS-0000012,2026-03-22 17:17:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,20.2,W,CAM-05-2
OBS-0000013,2026-02-13 21:11:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,46.5,W,CAM-02-3
OBS-0000014,2026-03-07 00:53:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,bus,23.9,E,CAM-04-3
OBS-0000015,2026-03-02 23:05:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,44.3,W,CAM-04-2
OBS-0000016,2026-01-19 10:26:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,35.3,E,CAM-04-1
OBS-0000017,2026-01-14 15:20:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,33.3,W,CAM-01-2
OBS-0000018,2026-01-24 16:13:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,12.7,W,CAM-02-3
OBS-0000019,2026-03-15 13:00:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,24.0,E,CAM-04-2
OBS-0000020,2026-03-25 10:48:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,42.0,W,CAM-04-3
OBS-0000021,2026-03-13 11:02:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,bus,42.0,S,CAM-06-2
OBS-0000022,2026-02-13 14:42:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,bus,35.5,E,CAM-06-2
OBS-0000023,2026-01-09 19:09:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,20.5,N,CAM-03-1
OBS-0000024,2026-02-11 01:43:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,51.6,N,CAM-01-3
OBS-0000025,2026-01-23 13:24:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,37.8,E,CAM-02-3
OBS-0000026,2026-02-02 12:25:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,39.3,E,CAM-06-3
OBS-0000027,2026-02-22 06:32:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,36.9,S,CAM-05-3
OBS-0000028,2026-02-13 01:14:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,19.3,E,CAM-02-1
OBS-0000029,2026-03-02 20:28:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,37.5,E,CAM-04-3
OBS-0000030,2026-02-05 12:51:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,39.7,S,CAM-04-2
OBS-0000031,2026-03-29 06:35:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,45.7,E,CAM-01-3
OBS-0000032,2026-03-27 01:32:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,43.1,N,CAM-03-1
OBS-0000033,2026-02-13 07:53:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,17.5,N,CAM-05-2
OBS-0000034,2026-02-22 00:43:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,38.7,S,CAM-04-1
OBS-0000035,2026-02-17 07:06:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,25.9,S,CAM-05-3
OBS-0000036,2026-01-07 07:50:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,36.1,N,CAM-06-1
OBS-0000037,2026-03-25 20:57:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,bus,45.0,N,CAM-06-2
OBS-0000038,2026-01-18 03:50:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,44.9,N,CAM-06-1
OBS-0000039,2026-02-18 05:39:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,bus,43.1,S,CAM-06-1
OBS-0000040,2026-03-18 20:33:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,motorbike,54.5,E,CAM-06-2
OBS-0000041,2026-02-07 16:35:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,23.6,S,CAM-05-2
OBS-0000042,2026-02-15 07:01:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,truck,10.8,W,CAM-04-2
OBS-0000043,2026-01-17 02:34:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,motorbike,29.3,E,CAM-04-1
OBS-0000044,2026-01-22 01:21:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,motorbike,45.6,N,CAM-02-2
OBS-0000045,2026-01-31 01:51:00,DN-06,Ngo Quyen,Son Tra,16.0644,108.2358,car,25.1,S,CAM-06-1
OBS-0000046,2026-03-19 01:17:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,42.9,S,CAM-03-1
OBS-0000047,2026-03-07 04:09:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,car,32.1,E,CAM-05-3
OBS-0000048,2026-03-03 00:18:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,48.5,N,CAM-03-2
OBS-0000049,2026-03-28 21:57:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,30.7,E,CAM-01-3
OBS-0000050,2026-02-28 19:05:00,DN-02,Han River Bridge,Hai Chau,16.0718,108.2268,car,21.8,E,CAM-02-2
OBS-0000051,2026-03-18 05:18:00,DN-05,2 September Street,Hai Chau,16.0481,108.223,motorbike,54.1,E,CAM-05-1
OBS-0000052,2026-02-07 11:14:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,car,40.1,E,CAM-01-2
OBS-0000053,2026-01-06 05:11:00,DN-01,Dragon Bridge,Hai Chau,16.0611,108.2273,motorbike,39.4,E,CAM-01-2
OBS-0000054,2026-02-25 06:34:00,DN-04,Dien Bien Phu,Thanh Khe,16.0666,108.1912,car,38.7,N,CAM-04-2
OBS-0000055,2026-02-25 07:43:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,truck,21.0,N,CAM-03-3
OBS-0000056,2026-03-20 09:32:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,motorbike,23.4,E,CAM-03-2
OBS-0000057,2026-03-28 04:53:00,DN-03,Nguyen Van Linh,Hai Chau,16.0595,108.2115,car,33.6,N,CAM-03-2
